"Woonplaatsen";"Woonplaatscode (Code)";"Gemeentenaam";"Gemeente/Code  (Code)"
"Geelbroek";"WP1166    ";"Aa en Hunze                        ";"GM1680    "
"Geerdijk";"WP3322    ";"Twenterand                         ";"GM1700    "
"Geersdijk";"WP3193    ";"Noord-Beveland                     ";"GM1695    "
"Geertruidenberg";"WP1751    ";"Geertruidenberg                    ";"GM0779    "
"Geervliet";"WP1386    ";"Nissewaard                         ";"GM1930    "
"Gees";"WP2154    ";"Coevorden                          ";"GM0109    "
"Geesbrug";"WP2155    ";"Coevorden                          ";"GM0109    "
"Geesteren";"WP1285    ";"Tubbergen                          ";"GM0183    "
"Geesteren";"WP1655    ";"Berkelland                         ";"GM1859    "
"Geeuwenbrug";"WP3112    ";"Westerveld                         ";"GM1701    "
"Geffen";"WP3610    ";"Oss                                ";"GM0828    "
"Geijsteren";"WP1857    ";"Venray                             ";"GM0984    "
"Geldermalsen";"WP3529    ";"Geldermalsen                       ";"GM0236    "
"Gelderswoude";"WP2645    ";"Zoeterwoude                        ";"GM0638    "
"Geldrop";"WP1126    ";"Geldrop-Mierlo                     ";"GM1771    "
"Geleen";"WP3513    ";"Sittard-Geleen                     ";"GM1883    "
"Gellicum";"WP3214    ";"Geldermalsen                       ";"GM0236    "
"Gelselaar";"WP1654    ";"Berkelland                         ";"GM1859    "
"Gemert";"WP2089    ";"Gemert-Bakel                       ";"GM1652    "
"Gemonde";"WP2059    ";"Sint-Michielsgestel                ";"GM0845    "
"Genderen";"WP1954    ";"Aalburg                            ";"GM0738    "
"Gendringen";"WP1585    ";"Oude IJsselstreek                  ";"GM1509    "
"Gendt";"WP3132    ";"Lingewaard                         ";"GM1705    "
"Genemuiden";"WP2198    ";"Zwartewaterland                    ";"GM1896    "
"Gennep";"WP2482    ";"Gennep                             ";"GM0907    "
"Gerkesklooster";"WP3177    ";"Achtkarspelen                      ";"GM0059    "
"Gersloot";"WP2185    ";"Heerenveen                         ";"GM0074    "
"Geulle";"WP1462    ";"Meerssen                           ";"GM0938    "
"Giesbeek";"WP1300    ";"Zevenaar                           ";"GM0299    "
"Giessen";"WP3302    ";"Woudrichem                         ";"GM0874    "
"Giessenburg";"WP1433    ";"Giessenlanden                      ";"GM0689    "
"Gieten";"WP1167    ";"Aa en Hunze                        ";"GM1680    "
"Gieterveen";"WP1168    ";"Aa en Hunze                        ";"GM1680    "
"Giethmen";"WP2551    ";"Ommen                              ";"GM0175    "
"Giethoorn";"WP2700    ";"Steenwijkerland                    ";"GM1708    "
"Gilze";"WP2067    ";"Gilze en Rijen                     ";"GM0784    "
"Ginnum";"WP3202    ";"Ferwerderadiel                     ";"GM1722    "
"Glane";"WP1712    ";"Losser                             ";"GM0168    "
"Glimmen";"WP1267    ";"Haren                              ";"GM0017    "
"De Glind";"WP1061    ";"Barneveld                          ";"GM0203    "
"Godlinze";"WP3236    ";"Delfzijl                           ";"GM0010    "
"Goedereede";"WP2931    ";"Goeree-Overflakkee                 ";"GM1924    "
"Goënga";"WP2405    ";"Súdwest-Fryslân                    ";"GM1900    "
"Goëngahuizen";"WP3281    ";"Smallingerland                     ";"GM0090    "
"Goes";"WP1824    ";"Goes                               ";"GM0664    "
"Goingarijp";"WP2489    ";"De Fryske Marren                   ";"GM1940    "
"Goirle";"WP2880    ";"Goirle                             ";"GM0785    "
"Goor";"WP1442    ";"Hof van Twente                     ";"GM1735    "
"De Goorn";"WP1185    ";"Koggenland                         ";"GM1598    "
"Gorinchem";"WP2299    ";"Gorinchem                          ";"GM0512    "
"Gorredijk";"WP3346    ";"Opsterland                         ";"GM0086    "
"Gorssel";"WP1338    ";"Lochem                             ";"GM0262    "
"Gouda";"WP1005    ";"Gouda                              ";"GM0513    "
"Gouderak";"WP2374    ";"Krimpenerwaard                     ";"GM1931    "
"Goudriaan";"WP3627    ";"Molenwaard                         ";"GM1927    "
"Goudswaard";"WP2886    ";"Korendijk                          ";"GM0588    "
"Goutum";"WP3616    ";"Leeuwarden                         ";"GM0080    "
"'t Goy";"WP2054    ";"Houten                             ";"GM0321    "
"Graauw";"WP3094    ";"Hulst                              ";"GM0677    "
"Grafhorst";"WP2896    ";"Kampen                             ";"GM0166    "
"Graft";"WP1903    ";"Alkmaar                            ";"GM0361    "
"Gramsbergen";"WP1549    ";"Hardenberg                         ";"GM0160    "
"Grashoek";"WP3440    ";"Peel en Maas                       ";"GM1894    "
"Grathem";"WP2943    ";"Leudal                             ";"GM1640    "
"Grave";"WP3197    ";"Grave                              ";"GM0786    "
"'s-Graveland";"WP3000    ";"Wijdemeren                         ";"GM1696    "
"'s-Gravendeel";"WP2380    ";"Binnenmaas                         ";"GM0585    "
"'s-Gravenhage";"WP1245    ";"'s-Gravenhage                      ";"GM0518    "
"'s Gravenmoer";"WP2800    ";"Dongen                             ";"GM0766    "
"'s-Gravenpolder";"WP1263    ";"Borsele                            ";"GM0654    "
"'s-Gravenzande";"WP2662    ";"Westland                           ";"GM1783    "
"Greonterp";"WP2406    ";"Súdwest-Fryslân                    ";"GM1900    "
"Grevenbicht";"WP2812    ";"Sittard-Geleen                     ";"GM1883    "
"Griendtsveen";"WP1029    ";"Horst aan de Maas                  ";"GM1507    "
"Grijpskerk";"WP2118    ";"Zuidhorn                           ";"GM0056    "
"Grijpskerke";"WP2778    ";"Veere                              ";"GM0717    "
"Groede";"WP2967    ";"Sluis                              ";"GM1714    "
"Groenekan";"WP2937    ";"De Bilt                            ";"GM0310    "
"Groeningen";"WP1216    ";"Boxmeer                            ";"GM0756    "
"Groenlo";"WP2224    ";"Oost Gelre                         ";"GM1586    "
"Groesbeek";"WP2291    ";"Berg en Dal                        ";"GM1945    "
"Groessen";"WP2097    ";"Duiven                             ";"GM0226    "
"Groet";"WP3044    ";"Bergen (NH.)                       ";"GM0373    "
"De Groeve";"WP2924    ";"Tynaarlo                           ";"GM1730    "
"Grolloo";"WP1169    ";"Aa en Hunze                        ";"GM1680    "
"Groningen";"WP1070    ";"Groningen                          ";"GM0014    "
"Gronsveld";"WP1701    ";"Eijsden-Margraten                  ";"GM1903    "
"Groot-Ammers";"WP1806    ";"Molenwaard                         ";"GM1927    "
"Grootebroek";"WP1103    ";"Stede Broec                        ";"GM0532    "
"Grootegast";"WP2175    ";"Grootegast                         ";"GM0015    "
"Grootschermer";"WP1887    ";"Alkmaar                            ";"GM0361    "
"Grou";"WP3602    ";"Leeuwarden                         ";"GM0080    "
"Grubbenvorst";"WP1030    ";"Horst aan de Maas                  ";"GM1507    "
"Gulpen";"WP1225    ";"Gulpen-Wittem                      ";"GM1729    "
"Guttecoven";"WP2813    ";"Sittard-Geleen                     ";"GM1883    "
"Gytsjerk";"WP2444    ";"Tytsjerksteradiel                  ";"GM0737    "
"Haaften";"WP3360    ";"Neerijnen                          ";"GM0304    "
"Haaksbergen";"WP2347    ";"Haaksbergen                        ";"GM0158    "
"Haalderen";"WP3136    ";"Lingewaard                         ";"GM1705    "
"'t Haantje";"WP2164    ";"Coevorden                          ";"GM0109    "
"Haaren";"WP1427    ";"Haaren                             ";"GM0788    "
"Haarle";"WP1286    ";"Tubbergen                          ";"GM0183    "
"Haarle";"WP1040    ";"Hellendoorn                        ";"GM0163    "
"Haarlem";"WP2907    ";"Haarlem                            ";"GM0392    "
"Haarlemmerliede";"WP2641    ";"Haarlemmerliede en Spaarnwoude     ";"GM0393    "
"Haarlo";"WP1660    ";"Berkelland                         ";"GM1859    "
"Haarsteeg";"WP3500    ";"Heusden                            ";"GM0797    "
"Haarzuilens";"WP3298    ";"Utrecht                            ";"GM0344    "
"Haastrecht";"WP2387    ";"Krimpenerwaard                     ";"GM1931    "
"Haelen";"WP2944    ";"Leudal                             ";"GM1640    "
"Hagestein";"WP3625    ";"Vianen                             ";"GM0620    "
"Haghorst";"WP1310    ";"Hilvarenbeek                       ";"GM0798    "
"Haler";"WP2945    ";"Leudal                             ";"GM1640    "
"Halfweg";"WP2643    ";"Haarlemmerliede en Spaarnwoude     ";"GM0393    "
"Hall";"WP1113    ";"Brummen                            ";"GM0213    "
"Halle";"WP3575    ";"Bronckhorst                        ";"GM1876    "
"Hallum";"WP3203    ";"Ferwerderadiel                     ";"GM1722    "
"Halsteren";"WP1938    ";"Bergen op Zoom                     ";"GM0748    "
"Den Ham";"WP2116    ";"Zuidhorn                           ";"GM0056    "
"Den Ham";"WP3321    ";"Twenterand                         ";"GM1700    "
"Handel";"WP2092    ";"Gemert-Bakel                       ";"GM1652    "
"Hank";"WP2215    ";"Werkendam                          ";"GM0870    "
"Hansweert";"WP3461    ";"Reimerswaal                        ";"GM0703    "
"Hantum";"WP3395    ";"Dongeradeel                        ";"GM0058    "
"Hantumeruitburen";"WP3396    ";"Dongeradeel                        ";"GM0058    "
"Hantumhuizen";"WP3397    ";"Dongeradeel                        ";"GM0058    "
"Hapert";"WP1065    ";"Bladel                             ";"GM1728    "
"Haps";"WP1451    ";"Cuijk                              ";"GM1684    "
"Harbrinkhoek";"WP1287    ";"Tubbergen                          ";"GM0183    "
"'t Harde";"WP1845    ";"Elburg                             ";"GM0230    "
"Hardenberg";"WP3608    ";"Hardenberg                         ";"GM0160    "
"Harderwijk";"WP3222    ";"Harderwijk                         ";"GM0243    "
"Hardinxveld-Giessendam";"WP3031    ";"Hardinxveld-Giessendam             ";"GM0523    "
"Haren";"WP3253    ";"Oss                                ";"GM0828    "
"Haren Gn";"WP1266    ";"Haren                              ";"GM0017    "
"Harfsen";"WP1339    ";"Lochem                             ";"GM0262    "
"Harich";"WP1676    ";"De Fryske Marren                   ";"GM1940    "
"Haringhuizen";"WP2515    ";"Hollands Kroon                     ";"GM1911    "
"Harkema";"WP3178    ";"Achtkarspelen                      ";"GM0059    "
"Harkstede";"WP1349    ";"Midden-Groningen                   ";"GM1952    "
"Harkstede GN";"WP3635    ";"Groningen                          ";"GM0014    "
"Harlingen";"WP2891    ";"Harlingen                          ";"GM0072    "
"Harmelen";"WP1072    ";"Woerden                            ";"GM0632    "
"Harreveld";"WP2228    ";"Oost Gelre                         ";"GM1586    "
"Harskamp";"WP2768    ";"Ede                                ";"GM0228    "
"Hartwerd";"WP2310    ";"Súdwest-Fryslân                    ";"GM1900    "
"Haskerdijken";"WP2490    ";"Heerenveen                         ";"GM0074    "
"Haskerhorne";"WP2491    ";"De Fryske Marren                   ";"GM1940    "
"Hasselt";"WP2199    ";"Zwartewaterland                    ";"GM1896    "
"Hattem";"WP2882    ";"Hattem                             ";"GM0244    "
"Hattemerbroek";"WP3069    ";"Oldebroek                          ";"GM0269    "
"Haule";"WP3576    ";"Ooststellingwerf                   ";"GM0085    "
"Haulerwijk";"WP3577    ";"Ooststellingwerf                   ";"GM0085    "
"Hauwert";"WP3566    ";"Medemblik                          ";"GM0420    "
"Havelte";"WP3113    ";"Westerveld                         ";"GM1701    "
"Havelterberg";"WP3114    ";"Westerveld                         ";"GM1701    "
"Hazerswoude-Dorp";"WP2852    ";"Alphen aan den Rijn                ";"GM0484    "
"Hazerswoude-Rijndijk";"WP2851    ";"Alphen aan den Rijn                ";"GM0484    "
"Hedel";"WP1625    ";"Maasdriel                          ";"GM0263    "
"Hedikhuizen";"WP3515    ";"Heusden                            ";"GM0797    "
"Hee";"WP2623    ";"Terschelling                       ";"GM0093    "
"Heeg";"WP2407    ";"Súdwest-Fryslân                    ";"GM1900    "
"Heel";"WP1917    ";"Maasgouw                           ";"GM1641    "
"Heelsum";"WP2987    ";"Renkum                             ";"GM0274    "
"Heelweg";"WP1576    ";"Oude IJsselstreek                  ";"GM1509    "
"Heemserveen";"WP1551    ";"Hardenberg                         ";"GM0160    "
"Heemskerk";"WP2458    ";"Heemskerk                          ";"GM0396    "
"Heemstede";"WP2563    ";"Heemstede                          ";"GM0397    "
"De Heen";"WP1401    ";"Steenbergen                        ";"GM0851    "
"Heenvliet";"WP1387    ";"Nissewaard                         ";"GM1930    "
"'s-Heer Abtskerke";"WP1264    ";"Borsele                            ";"GM0654    "
"'s-Heer Arendskerke";"WP1822    ";"Goes                               ";"GM0664    "
"'s-Heer Hendrikskinderen";"WP1823    ";"Goes                               ";"GM0664    "
"Heerde";"WP2865    ";"Heerde                             ";"GM0246    "
"'s-Heerenberg";"WP2206    ";"Montferland                        ";"GM1955    "
"'s-Heerenbroek";"WP2899    ";"Kampen                             ";"GM0166    "
"'s-Heerenhoek";"WP1265    ";"Borsele                            ";"GM0654    "
"Heerenveen";"WP3523    ";"Heerenveen                         ";"GM0074    "
"Heerewaarden";"WP1626    ";"Maasdriel                          ";"GM0263    "
"Heerhugowaard";"WP1746    ";"Heerhugowaard                      ";"GM0398    "
"Heerjansdam";"WP2398    ";"Zwijndrecht                        ";"GM0642    "
"Heerle";"WP1590    ";"Roosendaal                         ";"GM1674    "
"Heerlen";"WP1312    ";"Heerlen                            ";"GM0917    "
"Heesbeen";"WP3516    ";"Heusden                            ";"GM0797    "
"Heesch";"WP3059    ";"Bernheze                           ";"GM1721    "
"Heesselt";"WP3361    ";"Neerijnen                          ";"GM0304    "
"Heeswijk-Dinther";"WP3060    ";"Bernheze                           ";"GM1721    "
"Heeten";"WP1498    ";"Raalte                             ";"GM0177    "
"Heeze";"WP1314    ";"Heeze-Leende                       ";"GM1658    "
"Hegebeintum";"WP3204    ";"Ferwerderadiel                     ";"GM1722    "
"Hegelsom";"WP1031    ";"Horst aan de Maas                  ";"GM1507    "
"Hei- en Boeicop";"WP2109    ";"Zederik                            ";"GM0707    "
"Heibloem";"WP2946    ";"Leudal                             ";"GM1640    "
"Heide";"WP2329    ";"Venray                             ";"GM0984    "
"It Heidenskip";"WP1973    ";"Súdwest-Fryslân                    ";"GM1900    "
"Ter Heijde";"WP2663    ";"Westland                           ";"GM1783    "
"Heijen";"WP2483    ";"Gennep                             ";"GM0907    "
"Heijenrath";"WP1228    ";"Gulpen-Wittem                      ";"GM1729    "
"Heijningen";"WP1318    ";"Moerdijk                           ";"GM1709    "
"Heikant";"WP3091    ";"Hulst                              ";"GM0677    "
"Heilig Landstichting";"WP2292    ";"Berg en Dal                        ";"GM1945    "
"Heiligerlee";"WP1899    ";"Oldambt                            ";"GM1895    "
"Heiloo";"WP1243    ";"Heiloo                             ";"GM0399    "
"Heinenoord";"WP2381    ";"Binnenmaas                         ";"GM0585    "
"Heinkenszand";"WP1255    ";"Borsele                            ";"GM0654    "
"Heino";"WP1492    ";"Raalte                             ";"GM0177    "
"Hekelingen";"WP3033    ";"Nissewaard                         ";"GM1930    "
"Hekendorp";"WP1909    ";"Oudewater                          ";"GM0589    "
"Helden";"WP3441    ";"Peel en Maas                       ";"GM1894    "
"Den Helder";"WP3056    ";"Den Helder                         ";"GM0400    "
"Helenaveen";"WP1778    ";"Deurne                             ";"GM0762    "
"Hellendoorn";"WP3583    ";"Hellendoorn                        ";"GM0163    "
"Hellevoetsluis";"WP2137    ";"Hellevoetsluis                     ";"GM0530    "
"Hellouw";"WP3362    ";"Neerijnen                          ";"GM0304    "
"Hellum";"WP1350    ";"Midden-Groningen                   ";"GM1952    "
"Helmond";"WP1146    ";"Helmond                            ";"GM0794    "
"Helvoirt";"WP1428    ";"Haaren                             ";"GM0788    "
"Hem";"WP1507    ";"Drechterland                       ";"GM0498    "
"Hemelum";"WP1970    ";"Súdwest-Fryslân                    ";"GM1900    "
"Hemmen";"WP1865    ";"Overbetuwe                         ";"GM1734    "
"Hempens";"WP1202    ";"Leeuwarden                         ";"GM0080    "
"Hemrik";"WP3347    ";"Opsterland                         ";"GM0086    "
"Hendrik-Ido-Ambacht";"WP2352    ";"Hendrik-Ido-Ambacht                ";"GM0531    "
"Hengelo";"WP3510    ";"Hengelo                            ";"GM0164    "
"Hengelo (Gld)";"WP1535    ";"Bronckhorst                        ";"GM1876    "
"Hengevelde";"WP1443    ";"Hof van Twente                     ";"GM1735    "
"Hengstdijk";"WP3098    ";"Hulst                              ";"GM0677    "
"Hensbroek";"WP1186    ";"Koggenland                         ";"GM1598    "
"Herbaijum";"WP1365    ";"Waadhoeke                          ";"GM1949    "
"Herkenbosch";"WP2590    ";"Roerdalen                          ";"GM1669    "
"Herkingen";"WP2378    ";"Goeree-Overflakkee                 ";"GM1924    "
"Hernen";"WP2566    ";"Wijchen                            ";"GM0296    "
"Herpen";"WP3255    ";"Oss                                ";"GM0828    "
"Herpt";"WP3517    ";"Heusden                            ";"GM0797    "
"Herten";"WP2282    ";"Roermond                           ";"GM0957    "
"Hertme";"WP3570    ";"Borne                              ";"GM0147    "
"'s-Hertogenbosch";"WP1595    ";"'s-Hertogenbosch                   ";"GM0796    "
"Herveld";"WP1866    ";"Overbetuwe                         ";"GM1734    "
"Herwen";"WP2977    ";"Zevenaar                           ";"GM0299    "
"Herwijnen";"WP2354    ";"Lingewaal                          ";"GM0733    "
"Heteren";"WP1867    ";"Overbetuwe                         ";"GM1734    "
"Heukelom";"WP2648    ";"Oisterwijk                         ";"GM0824    "
"Heukelum";"WP2355    ";"Lingewaal                          ";"GM0733    "
"Heumen";"WP3495    ";"Heumen                             ";"GM0252    "
"De Heurne";"WP1195    ";"Aalten                             ";"GM0197    "
"Heusden";"WP2929    ";"Asten                              ";"GM0743    "
"Heusden";"WP3518    ";"Heusden                            ";"GM0797    "
"Heveadorp";"WP2988    ";"Renkum                             ";"GM0274    "
"Heythuysen";"WP2947    ";"Leudal                             ";"GM1640    "
"Hezingen";"WP1288    ";"Tubbergen                          ";"GM0183    "
"Hiaure";"WP3398    ";"Dongeradeel                        ";"GM0058    "
"Hichtum";"WP2311    ";"Súdwest-Fryslân                    ";"GM1900    "
"Hidaard";"WP2016    ";"Súdwest-Fryslân                    ";"GM1900    "
"Hierden";"WP3223    ";"Harderwijk                         ";"GM0243    "
"Hieslum";"WP2312    ";"Súdwest-Fryslân                    ";"GM1900    "
"Hijken";"WP3013    ";"Midden-Drenthe                     ";"GM1731    "
"Hijum";"WP3227    ";"Leeuwarden                         ";"GM0080    "
"Hilaard";"WP2017    ";"Leeuwarden                         ";"GM0080    "
"Hillegom";"WP3535    ";"Hillegom                           ";"GM0534    "
"Hilvarenbeek";"WP1307    ";"Hilvarenbeek                       ";"GM0798    "
"Hilversum";"WP1036    ";"Hilversum                          ";"GM0402    "
"Hindeloopen";"WP1968    ";"Súdwest-Fryslân                    ";"GM1900    "
"Hinnaard";"WP2018    ";"Súdwest-Fryslân                    ";"GM1900    "
"Hippolytushoef";"WP1488    ";"Hollands Kroon                     ";"GM1911    "
"Hitzum";"WP1363    ";"Waadhoeke                          ";"GM1949    "
"Hobrede";"WP1838    ";"Edam-Volendam                      ";"GM0385    "
"Hoedekenskerke";"WP1256    ";"Borsele                            ";"GM0654    "
"de Hoef";"WP3548    ";"De Ronde Venen                     ";"GM0736    "
"Hoef en Haag";"WP3626    ";"Vianen                             ";"GM0620    "
"Hoek";"WP1130    ";"Terneuzen                          ";"GM0715    "
"Hoek van Holland";"WP3082    ";"Rotterdam                          ";"GM0599    "
"Hoenderloo";"WP2257    ";"Apeldoorn                          ";"GM0200    "
"Hoenderloo";"WP2772    ";"Ede                                ";"GM0228    "
"Hoensbroek";"WP1313    ";"Heerlen                            ";"GM0917    "
"Hoenzadriel";"WP1627    ";"Maasdriel                          ";"GM0263    "
"De Hoeve";"WP1723    ";"Weststellingwerf                   ";"GM0098    "
"Hoevelaken";"WP2871    ";"Nijkerk                            ";"GM0267    "
"Hoeven";"WP1250    ";"Halderberge                        ";"GM1655    "
"Hoge Hexel";"WP1089    ";"Wierden                            ";"GM0189    "
"Hollandsche Rading";"WP2938    ";"De Bilt                            ";"GM0310    "
"Hollandscheveld";"WP1813    ";"Hoogeveen                          ";"GM0118    "
"Hollum";"WP2586    ";"Ameland                            ";"GM0060    "
"Holsloot";"WP2156    ";"Coevorden                          ";"GM0109    "
"Holten";"WP1567    ";"Rijssen-Holten                     ";"GM1742    "
"Holthees";"WP1217    ";"Boxmeer                            ";"GM0756    "
"Holtheme";"WP1552    ";"Hardenberg                         ";"GM0160    "
"Holthone";"WP1553    ";"Hardenberg                         ";"GM0160    "
"Holtum";"WP2814    ";"Sittard-Geleen                     ";"GM1883    "
"Holwerd";"WP3399    ";"Dongeradeel                        ";"GM0058    "
"Holwierde";"WP3237    ";"Delfzijl                           ";"GM0010    "
"Hommerts";"WP2408    ";"Súdwest-Fryslân                    ";"GM1900    "
"Homoet";"WP1868    ";"Overbetuwe                         ";"GM1734    "
"Honselersdijk";"WP2656    ";"Westland                           ";"GM1783    "
"Hoofddorp";"WP1597    ";"Haarlemmermeer                     ";"GM0394    "
"Hoofdplaat";"WP2968    ";"Sluis                              ";"GM1714    "
"Hoog Soeren";"WP3564    ";"Apeldoorn                          ";"GM0200    "
"Hoogblokland";"WP1434    ";"Giessenlanden                      ";"GM0689    "
"Hooge Mierde";"WP1874    ";"Reusel-De Mierden                  ";"GM1667    "
"Hooge Zwaluwe";"WP2575    ";"Drimmelen                          ";"GM1719    "
"Hoogeloon";"WP1066    ";"Bladel                             ";"GM1728    "
"Hoogenweg";"WP1554    ";"Hardenberg                         ";"GM0160    "
"Hoogerheide";"WP1000    ";"Woensdrecht                        ";"GM0873    "
"Hoogersmilde";"WP3014    ";"Midden-Drenthe                     ";"GM1731    "
"Hoogersmilde";"WP3115    ";"Westerveld                         ";"GM1701    "
"Hoogeveen";"WP1814    ";"Hoogeveen                          ";"GM0118    "
"Hoogezand";"WP1018    ";"Midden-Groningen                   ";"GM1952    "
"Hooghalen";"WP3015    ";"Midden-Drenthe                     ";"GM1731    "
"Hoogkarspel";"WP1508    ";"Drechterland                       ";"GM0498    "
"Hoog-Keppel";"WP1521    ";"Bronckhorst                        ";"GM1876    "
"Hoogland";"WP1665    ";"Amersfoort                         ";"GM0307    "
"Hooglanderveen";"WP1666    ";"Amersfoort                         ";"GM0307    "
"Hoogmade";"WP3034    ";"Kaag en Braassem                   ";"GM1884    "
"Hoogvliet Rotterdam";"WP3083    ";"Rotterdam                          ";"GM0599    "
"Hoogwoud";"WP2790    ";"Opmeer                             ";"GM0432    "
"Hoorn";"WP3614    ";"Hoorn                              ";"GM0405    "
"Hoorn";"WP2615    ";"Terschelling                       ";"GM0093    "
"Den Hoorn";"WP2741    ";"Texel                              ";"GM0448    "
"Den Hoorn";"WP2807    ";"Midden-Delfland                    ";"GM1842    "
"Hoornaar";"WP1435    ";"Giessenlanden                      ";"GM0689    "
"Hoornsterzwaag";"WP2197    ";"Heerenveen                         ";"GM0074    "
"Horn";"WP2948    ";"Leudal                             ";"GM1640    "
"Den Horn";"WP2117    ";"Zuidhorn                           ";"GM0056    "
"Hornhuizen";"WP3416    ";"De Marne                           ";"GM1663    "
"Horssen";"WP2905    ";"Druten                             ";"GM0225    "
"Horst";"WP1032    ";"Horst aan de Maas                  ";"GM1507    "
"Den Hout";"WP3595    ";"Oosterhout                         ";"GM0826    "
"Houten";"WP2053    ";"Houten                             ";"GM0321    "
"Houtigehage";"WP3282    ";"Smallingerland                     ";"GM0090    "
"Houwerzijl";"WP3417    ";"De Marne                           ";"GM1663    "
"Huijbergen";"WP1001    ";"Woensdrecht                        ";"GM0873    "
"Huis ter Heide";"WP1637    ";"Noordenveld                        ";"GM1699    "
"Huis ter Heide";"WP2825    ";"Zeist                              ";"GM0355    "
"Huisduinen";"WP3057    ";"Den Helder                         ";"GM0400    "
"Huisseling";"WP3257    ";"Oss                                ";"GM0828    "
"Huissen";"WP3130    ";"Lingewaard                         ";"GM1705    "
"Huizen";"WP1011    ";"Huizen                             ";"GM0406    "
"Huizinge";"WP3447    ";"Loppersum                          ";"GM0024    "
"Hulsberg";"WP2359    ";"Nuth                               ";"GM0951    "
"Hulsel";"WP1875    ";"Reusel-De Mierden                  ";"GM1667    "
"Hulshorst";"WP2984    ";"Nunspeet                           ";"GM0302    "
"Hulst";"WP3088    ";"Hulst                              ";"GM0677    "
"Hulten";"WP2068    ";"Gilze en Rijen                     ";"GM0784    "
"Hummelo";"WP1523    ";"Bronckhorst                        ";"GM1876    "
"Húns";"WP2019    ";"Leeuwarden                         ";"GM0080    "
"Hunsel";"WP2949    ";"Leudal                             ";"GM1640    "
"Hurdegaryp";"WP2449    ";"Tytsjerksteradiel                  ";"GM0737    "
"Hurwenen";"WP1628    ";"Maasdriel                          ";"GM0263    "
"Idaerd";"WP2529    ";"Leeuwarden                         ";"GM0080    "
"Idsegahuizum";"WP2313    ";"Súdwest-Fryslân                    ";"GM1900    "
"Idskenhuizen";"WP2492    ";"De Fryske Marren                   ";"GM1940    "
"Ter Idzard";"WP1742    ";"Weststellingwerf                   ";"GM0098    "
"Idzega";"WP2409    ";"Súdwest-Fryslân                    ";"GM1900    "
"Iens";"WP2020    ";"Súdwest-Fryslân                    ";"GM1900    "
"IJhorst";"WP1048    ";"Staphorst                          ";"GM0180    "
"IJlst";"WP2410    ";"Súdwest-Fryslân                    ";"GM1900    "
"IJmuiden";"WP2835    ";"Velsen                             ";"GM0453    "
"IJsselham";"WP2701    ";"Steenwijkerland                    ";"GM1708    "
"IJsselmuiden";"WP2895    ";"Kampen                             ";"GM0166    "
"IJsselstein";"WP2432    ";"IJsselstein                        ";"GM0353    "
"IJzendijke";"WP2974    ";"Sluis                              ";"GM1714    "
"IJzendoorn";"WP1099    ";"Neder-Betuwe                       ";"GM1740    "
"Den Ilp";"WP1329    ";"Landsmeer                          ";"GM0415    "
"Ilpendam";"WP1941    ";"Waterland                          ";"GM0852    "
"Indijk";"WP2411    ";"Súdwest-Fryslân                    ";"GM1900    "
"Ingber";"WP1226    ";"Gulpen-Wittem                      ";"GM1729    "
"Ingelum";"WP2728    ";"Waadhoeke                          ";"GM1949    "
"Ingen";"WP3376    ";"Buren                              ";"GM0214    "
"Itens";"WP2021    ";"Súdwest-Fryslân                    ";"GM1900    "
"Ittervoort";"WP2950    ";"Leudal                             ";"GM1640    "
"Jaarsveld";"WP1959    ";"Lopik                              ";"GM0331    "
"Jabeek";"WP2846    ";"Onderbanken                        ";"GM0881    "
"Jannum";"WP3205    ";"Ferwerderadiel                     ";"GM1722    "
"Jellum";"WP2022    ";"Leeuwarden                         ";"GM0080    "
"Jelsum";"WP3228    ";"Leeuwarden                         ";"GM0080    "
"Jirnsum";"WP2530    ";"Leeuwarden                         ";"GM0080    "
"Jislum";"WP3206    ";"Ferwerderadiel                     ";"GM1722    "
"Jisp";"WP2284    ";"Wormerland                         ";"GM0880    "
"Jistrum";"WP2452    ";"Tytsjerksteradiel                  ";"GM0737    "
"Jonkerslân";"WP3348    ";"Opsterland                         ";"GM0086    "
"Jonkersvaart";"WP2261    ";"Marum                              ";"GM0025    "
"Joppe";"WP1340    ";"Lochem                             ";"GM0262    "
"Jorwert";"WP2023    ";"Leeuwarden                         ";"GM0080    "
"Joure";"WP2493    ";"De Fryske Marren                   ";"GM1940    "
"Jouswier";"WP3400    ";"Dongeradeel                        ";"GM0058    "
"Jubbega";"WP2196    ";"Heerenveen                         ";"GM0074    "
"Julianadorp";"WP3058    ";"Den Helder                         ";"GM0400    "
"Jutrijp";"WP2412    ";"Súdwest-Fryslân                    ";"GM1900    "
"Kaag";"WP3035    ";"Kaag en Braassem                   ";"GM1884    "
"Kaard";"WP2622    ";"Terschelling                       ";"GM0093    "
"Kaatsheuvel";"WP3052    ";"Loon op Zand                       ";"GM0809    "
"Kalenberg";"WP2702    ";"Steenwijkerland                    ";"GM1708    "
"Kallenkote";"WP2703    ";"Steenwijkerland                    ";"GM1708    "
"Kamerik";"WP1073    ";"Woerden                            ";"GM0632    "
"Kampen";"WP2894    ";"Kampen                             ";"GM0166    "
"Kamperland";"WP3188    ";"Noord-Beveland                     ";"GM1695    "
"Kamperveen";"WP2900    ";"Kampen                             ";"GM0166    "
"Kantens";"WP3475    ";"Eemsmond                           ";"GM1651    "
